"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8","Comp. 9"
"QualityLife",0.92744442831075,0.0197230467001615,0.00375830019219656,0.00402986898477881,0.018492549621045,0.000678003588943786,0.0178740609322575,0.00799972498051509,1.66893513081611e-08
"PurchPower",0.581614130609206,0.223497669218431,0.0938693298787995,0.00984530245004338,0.00748794271667746,0.0130167942903465,0.0178307974052408,0.0528380302764816,3.15477525390947e-09
"Safety",0.244141363635164,0.0377433650306487,0.407525372640986,0.116470644713565,0.112205938588138,0.0745492000376079,0.00196538435167791,0.00539872958768592,1.41452723708922e-09
"HealthCare",0.352484365368732,0.135058976411712,0.00101235109704996,0.26237531387608,0.122621767590097,0.121175227573044,0.00241591542620938,0.00285608223932156,4.17753858477388e-10
"CostLiving",0.683067498731363,0.0260893351715135,0.000759767934113506,0.0498540737004731,0.137922029039606,0.021435287584921,0.0425548261898985,0.0383171809372846,7.10827805294468e-10
"PropPriceIncRt",0.0458747508822308,0.00449654310165153,0.743437261320422,0.123997835651113,0.0538680550307272,0.00340892479234376,0.00125850455731063,0.0236581242054696,4.58732554804585e-10
"TrafficComm",0.199562518414676,0.461996496946132,0.0287893683333366,0.161483137465022,0.00160178235646202,0.0493385016021457,0.0966779216714829,0.000550272980796869,2.29945312857139e-10
"Pollution",0.685091414443071,0.0941594197281621,0.00554002103189391,0.000817730316557288,0.0736680980525378,0.0200121597714001,0.120333358196871,0.000377793802704884,4.65680218009584e-09
"Climate",0.022637242816959,0.450472525832335,0.0129630876928366,0.401987598195808,0.0289986944462193,0.0797299475874696,0.00108988819056358,0.00212101411149074,1.12631716161623e-09
